Character,Dialogue,Season,Episode
Monica,there is nothing to tell he is just some guy,1,1
Joey,come on you are going out with the guy there is,1,1
Chandler,all right joey be,1,1
Phoebe,wait does he eat chalk,1,1
Phoebe,just cause i do not want her to go through,1,1
Monica,okay everybody relax this is not even a,1,1
Chandler,sounds like a date to me,1,1
Chandler,alright so im back in high school im,1,1
Chandler,then i look down and i realize there is a,1,1
Joey,instead of,1,1
Chandler,that is right,1,1
Joey,never had that dream,1,1
Phoebe,no,1,1
Chandler,all of a sudden the phone starts to ring,1,1
Monica,and they werenot looking at,1,1
Chandler,finally i figure,1,1
Ross,mortified hi,1,1
Joey,this guy says hello i wanna kill myself,1,1
Monica,are you okay sweetie,1,1
Ross,i just feel like someone reached down my,1,1
Chandler,cookie,1,1
Monica,explaining to the others carol moved her,1,1
Joey,ohh,1,1
Monica,to ross let me get you some coffee,1,1
Ross,thanks,1,1
Phoebe,ooh oh she starts to pluck at the air,1,1
Ross,no no do not stop cleansing my aura no just,1,1
Phoebe,fine  be murky,1,1
Ross,i will be fine,1,1
Monica,no you do not,1,1
Ross,no i do not to hell with her she left me,1,1
Joey,and you never knew she was a lesbian,1,1
Ross,no okay why does everyone keep fixating on,1,1
Chandler,sometimes i wish i was a lesbian they,1,1
Ross,i told mom and dad last night,1,1
Monica,oh really so that,1,1
Ross,sorry,1,1
Joey,alright ross look you are feeling a lot of,1,1
Joey,strip joint come on you are single have some,1,1
Ross,i do not want to be single okay i just i,1,1
Chandler,and i just want a million dollars he,1,1
Monica,rachel,1,1
Rachel,oh god monica hi thank god i just went to,1,1
Monica,pointing at rachel decaff to all okay,1,1
Rachel,hi sure,1,1
Ross,hi,1,1
Monica,so you wanna tell us now or are we waiting,1,1
Rachel,oh god well it started about a half hour,1,1
Monica,who wasnot invited to the wedding,1,1
Rachel,ooh i was kinda hoping that wouldnot be an,1,1
Monica,now im guessing that he bought her the big,1,1
Chandler,imitating the characters,1,1
Ross,in a deep voice i will have,1,1
Rachel,on phone daddy i just i cannot marry,1,1
Phoebe,if i let go of,1,1
Chandler,re tv ooh she should not be wearing,1,1
Joey,i say push her down the stairs,1,1
Rachel,come on daddy listen to me it is like it is,1,1
Ross,you can see where he would have trouble,1,1
Rachel,look daddy it is my life well maybe i will,1,1
Monica,well i guess we have established who is,1,1
Rachel,well maybe that is my decision well maybe,1,1
Monica,just breathe breathe that is it just try,1,1
Phoebe,sings raindrops on roses and rabbits and,1,1
Rachel,im all better now,1,1
Phoebe,grins and walks to the kitchen and says to,1,1
Monica,okay look this is probably for the best,1,1
Joey,comforting her and hey you need anything,1,1
Monica,joey stop hitting on her it is her wedding,1,1
Joey,what like there is a rule or something,1,1
Chandler,please do not do that again it is a,1,1
Monica,oh god is it,1,1
Joey,who is paul,1,1
Ross,paul the wine guy paul,1,1
Monica,maybe joey wait your not a real,1,1
Ross,he finally asked you out,1,1
Monica,yes,1,1
Chandler,ooh this is a dear diary moment,1,1
Monica,rach wait i can cancel,1,1
Rachel,please no go that would be fine,1,1
Monica,to ross are are you okay i mean do you,1,1
Ross,choked voice that would be good,1,1
Monica,horrified really,1,1
Ross,normal voice no go on it is paul the wine,1,1
Phoebe,what does that mean,1,1
Monica,hi come in paul this is they are all,1,1
Chandler,im sorry i didnot catch your name paul,1,1
Monica,okay ummumm i will,1,1
Ross,a wandering,1,1
Monica,change  okay,1,1
Phoebe,ooh i just pulled out four eyelashes that,1,1
Joey,hey paul,1,1
Joey,here is a little tip she,1,1
Monica,yelling from the bedroom,1,1
Ross,so rachel what are you uh what are you up,1,1
Rachel,well i was kinda supposed to be headed for,1,1
Ross,right you are not even getting your honeymoon,1,1
Chandler,deadpan yes and we are very excited,1,1
Rachel,well actually thanks but i think im just,1,1
Ross,okay sure,1,1
Joey,hey pheebs you wanna help,1,1
Phoebe,oh i wish i could but i do not want to,1,1
Phoebe,singing love is sweet as,1,1
Ross,squatting and reading the instructions im,1,1
Joey,im thinking we have got a,1,1
Chandler,it is a beautiful thing,1,1
Joey,picking up a leftover part what is this,1,1
Chandler,i would have to,1,1
Joey,which goes where,1,1
Chandler,i have no,1,1
Joey,done with the bookcase,1,1
Chandler,all finished,1,1
Ross,clutching a beer can and sniffing this was,1,1
Joey,heyheyheyhey if you are,1,1
Chandler,yes please do not spoil,1,1
Joey,ross let me ask you a question she got the,1,1
Ross,you guys,1,1
Chandler,oh god,1,1
Joey,you got screwed,1,1
Chandler,oh my god,1,1
Monica,oh my god,1,1
Monica,my brother is going through that right now,1,1
Monica,leg,1,1
Monica,you actually broke her watch  wow  the worst thing i ever did was ii shredded by,1,1
Monica,that is right,1,1
Rachel,barry im sorry i am so sorry i know,1,1
Ross,im divorced  im only,1,1
Joey,shut up,1,1
Chandler,you must stop chandler,1,1
Ross,that only took me an hour,1,1
Chandler,look ross you gotta,1,1
Ross,you know what the scariest part is what if,1,1
Joey,what are you talking about one woman,1,1
Ross,i honestly do not know if im hungry or horny,1,1
Chandler,stay out of my freezer scene a,1,1
Monica,what what you wanna spell it out with,1,1
Monica,oh so there is gonna be a fifth date,1,1
Monica,yeah yeah i think there is what were,1,1
Monica,spitting out her drink in shock oh god oh,1,1
Monica,i know being spit on is probably not what,1,1
Monica,wow imimim glad you smashed her watch,1,1
Monica,pauseyeah yeah i do,1,1
Rachel,ohsee but joanne loved chachi that is,1,1
Ross,scornful grab a spoon do you know how long,1,1
Joey,great story  but i uh,1,1
Chandler,angela is the screamer,1,1
Joey,right  thanks,1,1
Ross,yknow here is the thing even if i could get,1,1
Rachel,isnot this amazing i mean i have never,1,1
Chandler,that is amazing,1,1
Joey,congratulations,1,1
Rachel,yknow i figure if i can,1,1
Chandler,if can invade poland,1,1
Joey,listen while you are on a roll if you feel,1,1
Monica,entering to herself oh,1,1
Joey,morning paul,1,1
Rachel,hello paul,1,1
Chandler,hi paul is it,1,1
Monica,stop,1,1
Monica,we will talk later,1,1
Joey,that wasnot a real date what the hell do you,1,1
Monica,shut up and put my table back,1,1
Chandler,all right kids i gotta get to work if i,1,1
Rachel,so like you guys all have jobs,1,1
Monica,yeah we all have jobs see that is how we,1,1
Joey,yeah im an actor,1,1
Rachel,wow would i have seen you in anything,1,1
Joey,i doubt it mostly regional work,1,1
Monica,oh wait wait unless you happened to catch,1,1
Joey,look it was a job all right,1,1
Chandler,look gippetto im a real live boy,1,1
Joey,i will not take this abuse walks to the door,1,1
Chandler,you are right im sorry burst into song,1,1
Joey,you should both know,1,1
Monica,so how you doing today did you sleep okay,1,1
Rachel,i can see that you look like you slept with,1,1
Monica,i know he is just so so do you remember,1,1
Rachel,oh yeah,1,1
Monica,well it is like that with feelings,1,1
Rachel,oh wow are you in trouble,1,1
Monica,big time,1,1
Rachel,want a wedding dress,1,1
Monica,i think we are getting,1,1
Rachel,oh look wish me luck,1,1
Monica,what for,1,1
Rachel,im gonna go get one of those thinks job,1,1
Monica,hey frannie welcome back how was florida,1,1
Monica,how do you do that,1,1
Monica,you know paul,1,1
Monica,you mean you know paul like i know paul,1,1
Joey,sitting on the arm of the couchof course it was a line,1,1
Monica,why why why why would anybody do something like that,1,1
Ross,i assume we are looking for an answer more sophisticated than to get you,1,1
Monica,i hate men  i hate men,1,1
Phoebe,oh no do not hate you do not,1,1
Monica,is it me is it like i have some sort of,1,1
Phoebe,all right cmere gimme your feet she starts massaging them,1,1
Monica,i just thought he was nice yknow,1,1
Joey,bursts out laughing again i cannot believe you didnot know it was a line,1,1
Rachel,guess what,1,1
Ross,you got a job,1,1
Rachel,are you kidding im trained for nothing i was laughed out of twelve,1,1
Chandler,and yet you are surprisingly upbeat,1,1
Rachel,you would be too if you found john and david boots on sale fifty,1,1
Chandler,oh how well you know me,1,1
Rachel,they are my new i do not need a job i do not need my parents i have got,1,1
Monica,how would you pay for them,1,1
Rachel,uh credit card,1,1
Monica,and who pays for that,1,1
Rachel,um my father,1,1
Rachel,oh god come on you,1,1
Monica,come on you cannot live off your parents your whole life,1,1
Rachel,i know that that is why i was getting married,1,1
Phoebe,give her a break it is hard being on your own for the first time,1,1
Rachel,thank you,1,1
Phoebe,you are welcome i remember when i first came to this city i was,1,1
Ross,the word you are looking for is anyway,1,1
Monica,all right you ready,1,1
Rachel,no  no no im not,1,1
Monica,you can i know you,1,1
Rachel,i do not think so,1,1
Ross,come on you made,1,1
Ross,come on cut cut cut cut,1,1
Rachel,yknow what  i think,1,1
Monica,rachel,1,1
Chandler,as rachel is cutting up,1,1
Monica,welcome to the real world it sucks you are,1,1
Monica,well that is it to ross you gonna crash on the couch,1,1
Ross,no no i gotta go home sometime,1,1
Monica,you be okay,1,1
Ross,yeah,1,1
Rachel,hey mon look what i just found on the floor monica smiles what,1,1
Monica,that is paul is watch you just put it back where you found it oh boy,1,1
Ross,mmm they both reach for the last cookie oh no,1,1
Rachel,sorry,1,1
Ross,no no no go,1,1
Rachel,no you have it really i do not want it,1,1
Ross,split it,1,1
Rachel,okay,1,1
Ross,okay they split it you know you probably didnot know this but back in,1,1
Rachel,i knew,1,1
Ross,you did oh i always figured you just thought i was monica is geeky,1,1
Rachel,i did,1,1
Ross,oh listen do you think and try not to let my intense vulnerability,1,1
Rachel,yeah maybe,1,1
Ross,okay okay maybe i will,1,1
Rachel,goodnight,1,1
Ross,goodnight,1,1
Monica,see ya waitwait what is with you,1,1
Ross,i just grabbed a spoon ross exits and monica has no idea what that,1,1
Joey,i cannot believe what im hearing here,1,1
Phoebe,sings i cannot believe what im hearing here,1,1
Monica,what ii said you had a,1,1
Phoebe,sings what i said you had,1,1
Monica,to phoebe would you stop,1,1
Phoebe,oh was i doing it again,1,1
Monica,i said that you had a nice,1,1
Joey,oh you wouldnot know a great,1,1
Ross,there is an image,1,1
Rachel,walks up with a pot of coffee would anybody like more coffee,1,1
Chandler,did you make it or are you just serving it,1,1
Rachel,im just serving it,1,1
Chandler,kids new dream im in las vegas rachel,1,1
Rachel,ugh to another customer that is leaving excuse me could you give,1,1
Chandler,okay so im in las,1,1
Monica,what you guys do not understand is for us,1,2
Joey,yeah righty iserious,1,2
Phoebe,oh yeah,1,2
Rachel,everything you need to know is in that first kiss,1,2
Monica,absolutely,1,2
Chandler,yeah i think for us kissing is pretty much like an opening act,1,2
Ross,yeah andand it is not that we do not like the comedian it is thatthat,1,2
Chandler,the problem is though after the concert is over no matter how great,1,2
Rachel,yeah well word of advice bring back the comedian otherwise next time,1,2
Joey,pauseare we still talking about sex,1,2
Ross,no it is good it is good it is just that mm doesnot she seem a little,1,2
Ross,does she,1,2
Ross,marsha these are cave people okay they have issues like gee that,1,2
Ross,trying to ignore her no no,1,2
Ross,okay okay yes it is waves how about i will uh catch up with you in,1,2
Ross,hi,1,2
Ross,you look great i uh i hate that,1,2
Ross,ah well in here anyone who stands erect so what is new still,1,2
Ross,well you never know how is um how is the family,1,2
Ross,why why are you here carol,1,2
Ross,pregnant,1,2
Chandler,oh i think this is the episode of three is,1,2
Phoebe,then i have already seen this one turns off the tv,1,2
Monica,taking a drink from joey are you through with that,1,2
Joey,yeah sorry the swallowing slowed me down,1,2
Monica,whose little ball of paper is this,1,2
Chandler,oh uh that would be mine see i wrote a note to myself and then i,1,2
Phoebe,she is already fluffed that pillow monica you know you have already,1,2
Monica,look  im sorry guys i just do not wanna give them any more ammunition,1,2
Chandler,yes and we all know how cruel a parent can be about the flatness of a,1,2
Phoebe,monica hi um monica you are scaring me i mean you are like you are,1,2
Joey,yeah calm down you do not see ross getting all chaotic and twirly every,1,2
Monica,that is because as far as my parents are concerned ross can do no wrong,1,2
Chandler,looking out the window ew ew ew ew ew ew ew ew,1,2
Monica,what,1,2
Chandler,ugly naked guy got a thighmaster,1,2
Rachel,has anybody seen my engagement ring,1,2
Phoebe,yeah it is beautiful,1,2
Rachel,oh god oh god oh god oh god oh god oh god starts to look under,1,2
Phoebe,no look do not touch that,1,2
Rachel,oh like i wasnot dreading tomorrow enough having to give it back to,1,2
Monica,easy rach we will find it to all wonot we,1,2
Joey,alright when wouldya have it on last,1,2
Phoebe,doy probably right before she lost it,1,2
Chandler,you do not get a lot of  wouldoy these days,1,2
Rachel,i know i had it this morning and i know i had it when i was in the,1,2
Chandler,dinah,1,2
Rachel,looks at the lasagne and realizes something ohhhhh do not be mad,1,2
Monica,you didnot,1,2
Rachel,oh i am sorry,1,2
Monica,i gave you one job starts to examin the lasagne through the bottom of,1,2
Rachel,oh but look how straight those noodles are,1,2
Chandler,now monica you know that is not how you look for an engagement ring,1,2
Monica,puts down the lasagne i just cannot do it,1,2
Chandler,boys we are going in,1,2
Ross,standing outside the doorhi,1,2
Monica,wow that is not a happy hi,1,2
Ross,carol is pregnant,1,2
Phoebe,while everyone else is stunned ooh i found it,1,2
Monica,wwwh wha www,1,2
Ross,yeah do that for another two hours you might be where i am right about,1,2
Chandler,kinda puts that whole pillow thing in perspective huh mon,1,2
Rachel,well now howhow do you fit into this whole thing,1,2
Ross,well carol says she and susan want me to be involved but if im not,1,2
Phoebe,she is so great i miss her,1,2
Monica,what does she mean by involved,1,2
Chandler,i mean presumably the biggest part of your job is done,1,2
Ross,anyway they want me to go down to this sonogram thing with them,1,2
Rachel,so what are you gonna do,1,2
Ross,i have no idea no matter what i do though im still gonna be a father,1,2
Joey,well this is still ruined right,1,2
Monica,curry,1,2
Ross,i i think they are great i i really do,1,2
Ross,aw mom,1,2
Monica,im sorry why is this girl going to call me,1,2
Monica,no mom i do not have a restaurant i work in a restaurant,1,2
Monica,ross could you come and help me with the spaghetti please,1,2
Ross,yeah they go to the kitchen,1,2
Monica,i know this is going to sound unbelievably selfish but were you,1,2
